Category,Subcategory,Event ID,Message Summary,Minimum Operating System Requirement
Account Management,Distribution Group Management,4748,A security-disabled local group was deleted.,Windows Vista, Windows Server 2008
Account Management,Distribution Group Management,4749,A security-disabled global group was created.,Windows Vista, Windows Server 2008
Account Management,Distribution Group Management,4750,A security-disabled global group was changed.,Windows Vista, Windows Server 2008
Account Management,Distribution Group Management,4751,A member was added to a security-disabled global group.,Windows Vista, Windows Server 2008
Account Management,Distribution Group Management,4752,A member was removed from a security-disabled global group.,Windows Vista, Windows Server 2008
Account Management,Distribution Group Management,4753,A security-disabled global group was deleted.,Windows Vista, Windows Server 2008
Account Management,Distribution Group Management,4759,A security-disabled universal group was created.,Windows Vista, Windows Server 2008
Account Management,Distribution Group Management,4760,A security-disabled universal group was changed.,Windows Vista, Windows Server 2008
Account Management,Distribution Group Management,4761,A member was added to a security-disabled universal group.,Windows Vista, Windows Server 2008
Account Management,Distribution Group Management,4762,A member was removed from a security-disabled universal group.,Windows Vista, Windows Server 2008
Account Management,Other Account Management Events,4782,The password hash an account was accessed.,Windows Vista, Windows Server 2008
Account Management,Other Account Management Events,4793,The Password Policy Checking API was called.,Windows Vista, Windows Server 2008
Account Management,Security Group Management,4727,A security-enabled global group was created.,Windows Vista, Windows Server 2008
Account Management,Security Group Management,4728,A member was added to a security-enabled global group.,Windows Vista, Windows Server 2008
Account Management,Security Group Management,4729,A member was removed from a security-enabled global group.,Windows Vista, Windows Server 2008
Account Management,Security Group Management,4730,A security-enabled global group was deleted.,Windows Vista, Windows Server 2008
Account Management,Security Group Management,4731,A security-enabled local group was created.,Windows Vista, Windows Server 2008
Account Management,Security Group Management,4732,A member was added to a security-enabled local group.,Windows Vista, Windows Server 2008
Account Management,Security Group Management,4733,A member was removed from a security-enabled local group.,Windows Vista, Windows Server 2008
Account Management,Security Group Management,4734,A security-enabled local group was deleted.,Windows Vista, Windows Server 2008
Account Management,Security Group Management,4735,A security-enabled local group was changed.,Windows Vista, Windows Server 2008
Account Management,Security Group Management,4737,A security-enabled global group was changed.,Windows Vista, Windows Server 2008
Account Management,Security Group Management,4754,A security-enabled universal group was created.,Windows Vista, Windows Server 2008
Account Management,Security Group Management,4755,A security-enabled universal group was changed.,Windows Vista, Windows Server 2008
Account Management,Security Group Management,4756,A member was added to a security-enabled universal group.,Windows Vista, Windows Server 2008
Account Management,Security Group Management,4757,A member was removed from a security-enabled universal group.,Windows Vista, Windows Server 2008
Account Management,Security Group Management,4758,A security-enabled universal group was deleted.,Windows Vista, Windows Server 2008
Account Management,Security Group Management,4764,A group’s type was changed.,Windows Vista, Windows Server 2008
Account Management,User Account Management,4720,A user account was created.,Windows Vista, Windows Server 2008
Account Management,User Account Management,4722,A user account was enabled.,Windows Vista, Windows Server 2008
Account Management,User Account Management,4723,An attempt was made to change an account's password.,Windows Vista, Windows Server 2008
Account Management,User Account Management,4724,An attempt was made to reset an account's password.,Windows Vista, Windows Server 2008
Account Management,User Account Management,4725,A user account was disabled.,Windows Vista, Windows Server 2008
Account Management,User Account Management,4726,A user account was deleted.,Windows Vista, Windows Server 2008
Account Management,User Account Management,4738,A user account was changed.,Windows Vista, Windows Server 2008
Account Management,User Account Management,4740,A user account was locked out.,Windows Vista, Windows Server 2008
Account Management,User Account Management,4765,SID History was added to an account.,Windows Vista, Windows Server 2008
Account Management,User Account Management,4766,An attempt to add SID History to an account failed.,Windows Vista, Windows Server 2008
Account Management,User Account Management,4767,A user account was unlocked.,Windows Vista, Windows Server 2008
Account Management,User Account Management,4780,The ACL was set on accounts which are members of administrators groups.,Windows Vista, Windows Server 2008
Account Management,User Account Management,4781,The name of an account was changed:,Windows Vista, Windows Server 2008
Account Management,User Account Management,4794,An attempt was made to set the Directory Services Restore Mode.,Windows Vista, Windows Server 2008
Account Management,User Account Management,5376,Credential Manager credentials were backed up.,Windows Vista, Windows Server 2008
Account Management,User Account Management,5377,Credential Manager credentials were restored from a backup.,Windows Vista, Windows Server 2008
Detailed Tracking,DPAPI Activity,4692,Backup of data protection master key was attempted.,Windows Vista, Windows Server 2008
Detailed Tracking,DPAPI Activity,4693,Recovery of data protection master key was attempted.,Windows Vista, Windows Server 2008
Detailed Tracking,DPAPI Activity,4694,Protection of auditable protected data was attempted.,Windows Vista, Windows Server 2008
Detailed Tracking,DPAPI Activity,4695,Unprotection of auditable protected data was attempted.,Windows Vista, Windows Server 2008
Detailed Tracking,Process Creation,4688,A new process has been created.,Windows Vista, Windows Server 2008
Detailed Tracking,Process Creation,4696,A primary token was assigned to process.,Windows Vista, Windows Server 2008
Detailed Tracking,Process Termination,4689,A process has exited.,Windows Vista, Windows Server 2008
Detailed Tracking,RPC Events,5712,A Remote Procedure Call (RPC) was attempted.,Windows Vista, Windows Server 2008
DS Access,Detailed Directory Service Replication,4928,An Active Directory replica source naming context was established.,Windows Vista, Windows Server 2008
DS Access,Detailed Directory Service Replication,4929,An Active Directory replica source naming context was removed.,Windows Vista, Windows Server 2008
DS Access,Detailed Directory Service Replication,4930,An Active Directory replica source naming context was modified.,Windows Vista, Windows Server 2008
DS Access,Detailed Directory Service Replication,4931,An Active Directory replica destination naming context was modified.,Windows Vista, Windows Server 2008
DS Access,Detailed Directory Service Replication,4934,Attributes of an Active Directory object were replicated.,Windows Vista, Windows Server 2008
DS Access,Detailed Directory Service Replication,4935,Replication failure begins.,Windows Vista, Windows Server 2008
DS Access,Detailed Directory Service Replication,4936,Replication failure ends.,Windows Vista, Windows Server 2008
DS Access,Detailed Directory Service Replication,4937,A lingering object was removed from a replica.,Windows Vista, Windows Server 2008
DS Access,Directory Service Access,4662,An operation was performed on an object.,Windows Vista, Windows Server 2008
DS Access,Directory Service Changes,5136,A directory service object was modified.,Windows Vista, Windows Server 2008
DS Access,Directory Service Changes,5137,A directory service object was created.,Windows Vista, Windows Server 2008
DS Access,Directory Service Changes,5138,A directory service object was undeleted.,Windows Vista, Windows Server 2008
DS Access,Directory Service Changes,5139,A directory service object was moved.,Windows Vista, Windows Server 2008
DS Access,Directory Service Changes,5141,A directory service object was deleted.,Windows Vista SP1, Windows Server 2008
DS Access,Directory Service Replication,4932,Synchronization of a replica of an Active Directory naming context has begun.,Windows Vista, Windows Server 2008
DS Access,Directory Service Replication,4933,Synchronization of a replica of an Active Directory naming context has ended.,Windows Vista, Windows Server 2008
Logon/Logoff,Account Lockout,4625,An account failed to logon,Windows Vista, Windows Server 2009
Logon/Logoff,IPsec Extended Mode,4978,During Extended Mode negotiation, IPsec received an invalid negotiation packet. If this problem persists, it could indicate a network issue or an attempt to modify or replay this negotiation.,Windows Vista, Windows Server 2008
Logon/Logoff,IPsec Extended Mode,4979,IPsec Main Mode and Extended Mode security associations were established.,Windows Vista, Windows Server 2008
Logon/Logoff,IPsec Extended Mode,4980,IPsec Main Mode and Extended Mode security associations were established.,Windows Vista, Windows Server 2008
Logon/Logoff,IPsec Extended Mode,4981,IPsec Main Mode and Extended Mode security associations were established.,Windows Vista, Windows Server 2008
Logon/Logoff,IPsec Extended Mode,4982,IPsec Main Mode and Extended Mode security associations were established.,Windows Vista, Windows Server 2008
Logon/Logoff,IPsec Extended Mode,4983,An IPsec Extended Mode negotiation failed. The corresponding Main Mode security association has been deleted.,Windows Vista, Windows Server 2008
Logon/Logoff,IPsec Extended Mode,4984,An IPsec Extended Mode negotiation failed. The corresponding Main Mode security association has been deleted.,Windows Vista, Windows Server 2008
Logon/Logoff,IPsec Main Mode,4646,IKE DoS-prevention mode started.,Windows Vista, Windows Server 2008
Logon/Logoff,IPsec Main Mode,4650,An IPsec Main Mode security association was established. Extended Mode was not enabled. Certificate authentication was not used.,Windows Vista, Windows Server 2008
Logon/Logoff,IPsec Main Mode,4651,An IPsec Main Mode security association was established. Extended Mode was not enabled. A certificate was used for authentication.,Windows Vista, Windows Server 2008
Logon/Logoff,IPsec Main Mode,4652,An IPsec Main Mode negotiation failed.,Windows Vista, Windows Server 2008
Logon/Logoff,IPsec Main Mode,4653,An IPsec Main Mode negotiation failed.,Windows Vista, Windows Server 2008
Logon/Logoff,IPsec Main Mode,4655,An IPsec Main Mode security association ended.,Windows Vista, Windows Server 2008
Logon/Logoff,IPsec Main Mode,4976,During Main Mode negotiation, IPsec received an invalid negotiation packet. If this problem persists, it could indicate a network issue or an attempt to modify or replay this negotiation.,Windows Vista, Windows Server 2008
Logon/Logoff,IPsec Main Mode,5049,An IPsec Security Association was deleted.,Windows Vista, Windows Server 2008
Logon/Logoff,IPsec Main Mode,5453,An IPsec negotiation with a remote computer failed because the IKE and AuthIP IPsec Keying Modules (IKEEXT) service is not started.,Windows Vista, Windows Server 2008
Logon/Logoff,IPsec Quick Mode,4654,An IPsec Quick Mode negotiation failed.,Windows Vista, Windows Server 2008
Logon/Logoff,IPsec Quick Mode,4977,During Quick Mode negotiation, IPsec received an invalid negotiation packet. If this problem persists, it could indicate a network issue or an attempt to modify or replay this negotiation.,Windows Vista, Windows Server 2008
Logon/Logoff,IPsec Quick Mode,5451,An IPsec Quick Mode security association was established.,Windows Vista, Windows Server 2008
Logon/Logoff,IPsec Quick Mode,5452,An IPsec Quick Mode security association ended.,Windows Vista, Windows Server 2008
Logon/Logoff,Logoff,4634,An account was logged off.,Windows Vista, Windows Server 2008
Logon/Logoff,Logoff,4647,User initiated logoff.,Windows Vista, Windows Server 2008
Logon/Logoff,Logon,4624,An account was successfully logged on.,Windows Vista, Windows Server 2008
Logon/Logoff,Logon,4625,An account failed to log on.,Windows Vista, Windows Server 2008
Logon/Logoff,Logon,4648,A logon was attempted using explicit credentials.,Windows Vista, Windows Server 2008
Logon/Logoff,Logon,4675,SIDs were filtered.,Windows Vista, Windows Server 2008
Logon/Logoff,Network Policy Server,6272,Network Policy Server granted access to a user.,Windows Vista SP1, Windows Server 2008
Logon/Logoff,Network Policy Server,6273,Network Policy Server denied access to a user.,Windows Vista SP1, Windows Server 2008
Logon/Logoff,Network Policy Server,6274,Network Policy Server discarded the request for a user.,Windows Vista SP1, Windows Server 2008
Logon/Logoff,Network Policy Server,6275,Network Policy Server discarded the accounting request for a user.,Windows Vista SP1, Windows Server 2008
Logon/Logoff,Network Policy Server,6276,Network Policy Server quarantined a user.,Windows Vista SP1, Windows Server 2008
Logon/Logoff,Network Policy Server,6277,Network Policy Server granted access to a user but put it on probation because the host did not meet the defined health policy.,Windows Vista SP1, Windows Server 2008
Logon/Logoff,Network Policy Server,6278,Network Policy Server granted full access to a user because the host met the defined health policy.,Windows Vista SP1, Windows Server 2008
Logon/Logoff,Network Policy Server,6279,Network Policy Server locked the user account due to repeated failed authentication attempts.,Windows Vista SP1, Windows Server 2008
Logon/Logoff,Network Policy Server,6280,Network Policy Server unlocked the user account.,Windows Vista SP1, Windows Server 2008
Logon/Logoff,Other Logon/Logoff Events,4649,A replay attack was detected.,Windows Vista, Windows Server 2008
Logon/Logoff,Other Logon/Logoff Events,4778,A session was reconnected to a Window Station.,Windows Vista, Windows Server 2008
Logon/Logoff,Other Logon/Logoff Events,4779,A session was disconnected from a Window Station.,Windows Vista, Windows Server 2008
Logon/Logoff,Other Logon/Logoff Events,4800,The workstation was locked.,Windows Vista, Windows Server 2008
Logon/Logoff,Other Logon/Logoff Events,4801,The workstation was unlocked.,Windows Vista, Windows Server 2008
Logon/Logoff,Other Logon/Logoff Events,4802,The screen saver was invoked.,Windows Vista, Windows Server 2008
Logon/Logoff,Other Logon/Logoff Events,4803,The screen saver was dismissed.,Windows Vista, Windows Server 2008
Logon/Logoff,Other Logon/Logoff Events,5378,The requested credentials delegation was disallowed by policy.,Windows Vista, Windows Server 2008
Logon/Logoff,Other Logon/Logoff Events,5632,A request was made to authenticate to a wireless network.,Windows Vista, Windows Server 2008
Logon/Logoff,Other Logon/Logoff Events,5633,A request was made to authenticate to a wired network.,Windows Vista, Windows Server 2008
Logon/Logoff,Special Logon,4964,Special groups have been assigned to a new logon.,Windows Vista, Windows Server 2008
Object Access,Application Generated,4665,An attempt was made to create an application client context.,Windows Vista, Windows Server 2008
Object Access,Application Generated,4666,An application attempted an operation:,Windows Vista, Windows Server 2008
Object Access,Application Generated,4667,An application client context was deleted.,Windows Vista, Windows Server 2008
Object Access,Application Generated,4668,An application was initialized.,Windows Vista, Windows Server 2008
Object Access,Certification Services,4868,The certificate manager denied a pending certificate request.,Windows Vista, Windows Server 2008
Object Access,Certification Services,4869,Certificate Services received a resubmitted certificate request.,Windows Vista, Windows Server 2008
Object Access,Certification Services,4870,Certificate Services revoked a certificate.,Windows Vista, Windows Server 2008
Object Access,Certification Services,4871,Certificate Services received a request to publish the certificate revocation list (CRL).,Windows Vista, Windows Server 2008
Object Access,Certification Services,4872,Certificate Services published the certificate revocation list (CRL).,Windows Vista, Windows Server 2008
Object Access,Certification Services,4873,A certificate request extension changed.,Windows Vista, Windows Server 2008
Object Access,Certification Services,4874,One or more certificate request attributes changed.,Windows Vista, Windows Server 2008
Object Access,Certification Services,4875,Certificate Services received a request to shut down.,Windows Vista, Windows Server 2008
Object Access,Certification Services,4876,Certificate Services backup started.,Windows Vista, Windows Server 2008
Object Access,Certification Services,4877,Certificate Services backup completed.,Windows Vista, Windows Server 2008
Object Access,Certification Services,4878,Certificate Services restore started.,Windows Vista, Windows Server 2008
Object Access,Certification Services,4879,Certificate Services restore completed.,Windows Vista, Windows Server 2008
Object Access,Certification Services,4880,Certificate Services started.,Windows Vista, Windows Server 2008
Object Access,Certification Services,4881,Certificate Services stopped.,Windows Vista, Windows Server 2008
Object Access,Certification Services,4882,The security permissions for Certificate Services changed.,Windows Vista, Windows Server 2008
Object Access,Certification Services,4883,Certificate Services retrieved an archived key.,Windows Vista, Windows Server 2008
Object Access,Certification Services,4884,Certificate Services imported a certificate into its database.,Windows Vista, Windows Server 2008
Object Access,Certification Services,4885,The audit filter for Certificate Services changed.,Windows Vista, Windows Server 2008
Object Access,Certification Services,4886,Certificate Services received a certificate request.,Windows Vista, Windows Server 2008
Object Access,Certification Services,4887,Certificate Services approved a certificate request and issued a certificate.,Windows Vista, Windows Server 2008
Object Access,Certification Services,4888,Certificate Services denied a certificate request.,Windows Vista, Windows Server 2008
Object Access,Certification Services,4889,Certificate Services set the status of a certificate request to pending.,Windows Vista, Windows Server 2008
Object Access,Certification Services,4890,The certificate manager settings for Certificate Services changed.,Windows Vista, Windows Server 2008
Object Access,Certification Services,4891,A configuration entry changed in Certificate Services.,Windows Vista, Windows Server 2008
Object Access,Certification Services,4892,A property of Certificate Services changed.,Windows Vista, Windows Server 2008
Object Access,Certification Services,4893,Certificate Services archived a key.,Windows Vista, Windows Server 2008
Object Access,Certification Services,4894,Certificate Services imported and archived a key.,Windows Vista, Windows Server 2008
Object Access,Certification Services,4895,Certificate Services published the CA certificate to Active Directory Domain Services.,Windows Vista, Windows Server 2008
Object Access,Certification Services,4896,One or more rows have been deleted from the certificate database.,Windows Vista, Windows Server 2008
Object Access,Certification Services,4897,Role separation enabled:,Windows Vista, Windows Server 2008
Object Access,Certification Services,4898,Certificate Services loaded a template.,Windows Vista, Windows Server 2008
Object Access,Detailed File Share,5145,A network share object was checked to see whether the client can be granted desired access.,Windows 7, Windows Server 2008 R2
Object Access,File Share,5140,A network share object was accessed.,Windows Vista, Windows Server 2008
Object Access,File Share,5142,A network share object was added.,Windows 7, Windows Server 2008 R2
Object Access,File Share,5143,A network share object was modified.,Windows 7, Windows Server 2008 R2
Object Access,File Share,5144,A network share object was deleted.,Windows 7, Windows Server 2008 R2
Object Access,File Share,5168,Spn check for SMB/SMB2 failed.,Windows 7, Windows Server 2008 R2
Object Access,File System,4664,An attempt was made to create a hard link.,Windows Vista, Windows Server 2008
Object Access,File System,4985,The state of a transaction has changed.,Windows Vista, Windows Server 2008
Object Access,File System,5051,A file was virtualized.,Windows Vista, Windows Server 2008
Object Access,Filtering Platform Connection,5031,The Windows Firewall Service blocked an application from accepting incoming connections on the network.,Windows Vista, Windows Server 2008
Object Access,Filtering Platform Connection,5154,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections.,Windows Vista, Windows Server 2008
Object Access,Filtering Platform Connection,5150,The Windows Filtering Platform has blocked a packet.,Windows 7, Windows Server 2008 R2
Object Access,Filtering Platform Connection,5151,A more restrictive Windows Filtering Platform filter has blocked a packet.,Windows 7, Windows Server 2008 R2
Object Access,Filtering Platform Connection,5155,The Windows Filtering Platform has blocked an application or service from listening on a port for incoming connections.,Windows Vista, Windows Server 2008
Object Access,Filtering Platform Connection,5156,The Windows Filtering Platform has allowed a connection.,Windows Vista, Windows Server 2008
Object Access,Filtering Platform Connection,5157,The Windows Filtering Platform has blocked a connection.,Windows Vista, Windows Server 2008
Object Access,Filtering Platform Connection,5158,The Windows Filtering Platform has permitted a bind to a local port.,Windows Vista, Windows Server 2008
Object Access,Filtering Platform Connection,5159,The Windows Filtering Platform has blocked a bind to a local port.,Windows Vista, Windows Server 2008
Object Access,Filtering Platform Packet Drop ,5152,The Windows Filtering Platform blocked a packet.,Windows Vista, Windows Server 2008
Object Access,Filtering Platform Packet Drop ,5153,A more restrictive Windows Filtering Platform filter has blocked a packet.,Windows Vista, Windows Server 2008
Object Access,Handle Manipulation,4656,A handle to an object was requested.,Windows Vista, Windows Server 2008
Object Access,Handle Manipulation,4658,The handle to an object was closed.,Windows Vista, Windows Server 2008
Object Access,Handle Manipulation,4690,An attempt was made to duplicate a handle to an object.,Windows Vista, Windows Server 2008
Object Access,Other Object Access Events,4671,An application attempted to access a blocked ordinal through the TBS.,Windows Vista, Windows Server 2008
Object Access,Other Object Access Events,4691,Indirect access to an object was requested.,Windows Vista, Windows Server 2008
Object Access,Other Object Access Events,4698,A scheduled task was created.,Windows Vista, Windows Server 2008
Object Access,Other Object Access Events,4699,A scheduled task was deleted.,Windows Vista, Windows Server 2008
Object Access,Other Object Access Events,4700,A scheduled task was enabled.,Windows Vista, Windows Server 2008
Object Access,Other Object Access Events,4701,A scheduled task was disabled.,Windows Vista, Windows Server 2008
Object Access,Other Object Access Events,4702,A scheduled task was updated.,Windows Vista, Windows Server 2008
Object Access,Other Object Access Events,5148,"The Windows Filtering Platform has detected a DoS attack and entered a defensive mode, packets associated with this attack will be discarded.",Windows 7, Windows Server 2008 R2
Object Access,Other Object Access Events,5149,The DoS attack has subsided and normal processing is being resumed.,Windows 7, Windows Server 2008 R2
Object Access,Other Object Access Events,5888,An object in the COM+ Catalog was modified.,Windows Vista, Windows Server 2008
Object Access,Other Object Access Events,5889,An object was deleted from the COM+ Catalog.,Windows Vista, Windows Server 2008
Object Access,Other Object Access Events,5890,An object was added to the COM+ Catalog.,Windows Vista, Windows Server 2008
Object Access,Registry,4657,A registry value was modified.,Windows Vista, Windows Server 2008
Object Access,Registry,5039,A registry key was virtualized.,Windows Vista, Windows Server 2008
Object Access,Special,4659,A handle to an object was requested with intent to delete.,Windows Vista, Windows Server 2008
Object Access,Special,4660,An object was deleted.,Windows Vista, Windows Server 2008
Object Access,Special,4661,A handle to an object was requested.,Windows Vista, Windows Server 2008
Object Access,Special,4663,An attempt was made to access an object.,Windows Vista, Windows Server 2008
Policy Change,Audit Policy Change,4715,The audit policy (SACL) on an object was changed.,Windows Vista, Windows Server 2008
Policy Change,Audit Policy Change,4719,System audit policy was changed.,Windows Vista, Windows Server 2008
Policy Change,Audit Policy Change,4817,Auditing settings on an object were changed.,Windows 7, Windows Server 2008 R2
Policy Change,Audit Policy Change,4902,The Per-user audit policy table was created.,Windows Vista, Windows Server 2008
Policy Change,Audit Policy Change,4904,An attempt was made to register a security event source.,Windows Vista, Windows Server 2008
Policy Change,Audit Policy Change,4905,An attempt was made to unregister a security event source.,Windows Vista, Windows Server 2008
Policy Change,Audit Policy Change,4906,The CrashOnAuditFail value has changed.,Windows Vista, Windows Server 2008
Policy Change,Audit Policy Change,4907,Auditing settings on object were changed.,Windows Vista, Windows Server 2008
Policy Change,Audit Policy Change,4908,Special Groups Logon table modified.,Windows Vista, Windows Server 2008
Policy Change,Audit Policy Change,4912,Per User Audit Policy was changed.,Windows Vista, Windows Server 2008
Policy Change,Authentication Policy Change,4713,Kerberos policy was changed.,Windows Vista, Windows Server 2008
Policy Change,Authentication Policy Change,4716,Trusted domain information was modified.,Windows Vista, Windows Server 2008
Policy Change,Authentication Policy Change,4717,System security access was granted to an account.,Windows Vista, Windows Server 2008
Policy Change,Authentication Policy Change,4718,System security access was removed from an account.,Windows Vista, Windows Server 2008
Policy Change,Authentication Policy Change,4739,Domain Policy was changed.,Windows Vista, Windows Server 2008
Policy Change,Authentication Policy Change,4864,A namespace collision was detected.,Windows Vista, Windows Server 2008
Policy Change,Authentication Policy Change,4865,A trusted forest information entry was added.,Windows Vista, Windows Server 2008
Policy Change,Authentication Policy Change,4866,A trusted forest information entry was removed.,Windows Vista, Windows Server 2008
Policy Change,Authentication Policy Change,4867,A trusted forest information entry was modified.,Windows Vista, Windows Server 2008
Policy Change,Authorization Policy Change,4704,A user right was assigned.,Windows Vista, Windows Server 2008
Policy Change,Authorization Policy Change,4705,A user right was removed.,Windows Vista, Windows Server 2008
Policy Change,Authorization Policy Change,4706,A new trust was created to a domain.,Windows Vista, Windows Server 2008
Policy Change,Authorization Policy Change,4707,A trust to a domain was removed.,Windows Vista, Windows Server 2008
Policy Change,Authorization Policy Change,4714,Encrypted data recovery policy was changed.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,4709,IPsec Services was started.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,4710,IPsec Services was disabled.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,4711,"May contain any one of the following: PAStore Engine applied locally cached copy of Active Directory storage IPsec policy on the computer.
PAStore Engine applied Active Directory storage IPsec policy on the computer.
PAStore Engine applied local registry storage IPsec policy on the computer.
PAStore Engine failed to apply locally cached copy of Active Directory storage IPsec policy on the computer.
PAStore Engine failed to apply Active Directory storage IPsec policy on the computer.
PAStore Engine failed to apply local registry storage IPsec policy on the computer.
PAStore Engine failed to apply some rules of the active IPsec policy on the computer.
PAStore Engine failed to load directory storage IPsec policy on the computer.
PAStore Engine loaded directory storage IPsec policy on the computer.
PAStore Engine failed to load local storage IPsec policy on the computer.
PAStore Engine loaded local storage IPsec policy on the computer.
PAStore Engine polled for changes to the active IPsec policy and detected no changes.",Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,4712,IPsec Services encountered a potentially serious failure.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5040,A change has been made to IPsec settings. An Authentication Set was added.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5041,A change has been made to IPsec settings. An Authentication Set was modified.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5042,A change has been made to IPsec settings. An Authentication Set was deleted.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5043,A change has been made to IPsec settings. A Connection Security Rule was added.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5044,A change has been made to IPsec settings. A Connection Security Rule was modified.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5045,A change has been made to IPsec settings. A Connection Security Rule was deleted.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5046,A change has been made to IPsec settings. A Crypto Set was added.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5047,A change has been made to IPsec settings. A Crypto Set was modified.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5048,A change has been made to IPsec settings. A Crypto Set was deleted.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5440,The following callout was present when the Windows Filtering Platform Base Filtering Engine started.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5441,The following filter was present when the Windows Filtering Platform Base Filtering Engine started.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5442,The following provider was present when the Windows Filtering Platform Base Filtering Engine started.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5443,The following provider context was present when the Windows Filtering Platform Base Filtering Engine started.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5444,The following sub-layer was present when the Windows Filtering Platform Base Filtering Engine started.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5446,A Windows Filtering Platform callout has been changed.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5448,A Windows Filtering Platform provider has been changed.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5449,A Windows Filtering Platform provider context has been changed.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5450,A Windows Filtering Platform sub-layer has been changed.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5456,PAStore Engine applied Active Directory storage IPsec policy on the computer.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5457,PAStore Engine failed to apply Active Directory storage IPsec policy on the computer.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5458,PAStore Engine applied locally cached copy of Active Directory storage IPsec policy on the computer.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5459,PAStore Engine failed to apply locally cached copy of Active Directory storage IPsec policy on the computer.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5460,PAStore Engine applied local registry storage IPsec policy on the computer.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5461,PAStore Engine failed to apply local registry storage IPsec policy on the computer.,Windows Vista, Windows Server 2008
